model,training_seed,axis,level_s,evaluation_seeds,mean_pickups,mean_degradation_rate,faithfulness_records,stale_exposed_records,paired_stale_exposed_records,mean_type_matched_def,mean_action_protected_def_m,mean_attention_drift,mean_stale_attention_share_when_exposed,mean_stale_attention_mass_when_exposed,mean_stale_attention_shift_when_exposed,stale_in_top3_rate_when_exposed,mean_wamsn_when_exposed_secondary,mean_paired_type_matched_def_delta,mean_paired_type_matched_def_m_delta
H5_gat_degraded,42,clean,0.0,8,10.875,0.0,1104,0,0,0.00013759765625,-0.00523394495412844,0.0,,,,,,,
H5_gat_degraded,42,outage_duration,10.0,8,10.895833333333334,0.003235416666666667,1454,353,353,0.00011450079239302696,-0.004949565217391305,1.5061898211829435e-05,0.17132351274787538,0.15380339943342777,0.0030385269121813033,0.8413597733711048,0.02894900849858357,0.0,-0.00011586402266288954
H5_gat_degraded,42,outage_duration,20.0,8,10.895833333333334,0.00625625,1741,654,654,9.573918657198193e-05,-0.0045677165354330715,2.5674899483055718e-05,0.17190183486238533,0.14970932721712538,0.003677675840978593,0.8348623853211009,0.04228608562691131,-2.90519877675841e-06,-0.00028593272171253823
H5_gat_degraded,42,outage_duration,30.0,8,10.895833333333334,0.009066666666666667,1987,948,948,8.027855153203343e-05,-0.004062589928057554,3.447408152994464e-05,0.17286635021097047,0.1457775316455696,0.0041693037974683544,0.8343881856540084,0.05640791139240507,-2.0147679324894516e-05,-0.0004701476793248945
H5_gat_degraded,42,outage_duration,60.0,8,10.895833333333334,0.0165375,2569,1566,1566,6.028607488430794e-05,-0.002228426395939086,5.998442973919814e-05,0.17425338441890167,0.13585983397190296,0.005213346104725416,0.8186462324393359,0.09000549169859515,-6.28352490421456e-05,-0.0007485312899106004
H5_gat_degraded,43,clean,0.0,8,14.208333333333334,0.0,1671,0,0,5.656819610307984e-05,-0.0038914893617021276,0.0,,,,,,,
H5_gat_degraded,43,outage_duration,10.0,8,14.208333333333334,0.0023229166666666667,2043,372,372,5.00810372771475e-05,-0.0038861386138613853,0.0,0.16791639784946238,0.13969274193548387,0.0009870967741935483,0.8118279569892473,0.027989784946236555,5.376344086021506e-07,-3.387096774193549e-05
H5_gat_degraded,43,outage_duration,20.0,8,14.458333333333334,0.0046,2346,689,689,3.2822655524605394e-05,-0.003750909090909091,0.0,0.167311175616836,0.13317314949201742,0.0008801161103047896,0.8055152394775036,0.04065355587808418,-7.2568940493468785e-06,-0.005311175616835994
H5_gat_degraded,43,outage_duration,30.0,8,14.333333333333334,0.006808333333333333,2612,1005,1005,3.074380165289257e-05,-0.0032934426229508196,0.0,0.16749323383084574,0.1275782089552239,0.0009072636815920397,0.8099502487562189,0.05420567164179104,-5.771144278606965e-06,-0.0037268656716417914
H5_gat_degraded,43,outage_duration,60.0,8,14.25,0.012760416666666666,3265,1697,1697,2.853888708102831e-05,-0.0027317647058823532,3.33843797856049e-06,0.16688815556865055,0.11462934590453742,0.0009730111962286388,0.7984678845020624,0.08655957572186211,-6.953447259870358e-06,-0.002334354743665293
H5_gat_degraded,44,clean,0.0,8,12.395833333333332,0.0,1315,0,0,0.00036137651821862345,-0.010903773584905662,0.0,,,,,,,
H5_gat_degraded,44,outage_duration,10.0,8,12.395833333333332,0.0025833333333333333,1667,353,353,0.00031355932203389834,-0.010316814159292033,1.7696460707858427e-05,0.16542747875354108,0.1491526912181303,-0.0021999999999999997,0.0113314447592068,0.027731444759206803,0.0,1.869688385269122e-05
H5_gat_degraded,44,outage_duration,20.0,8,12.520833333333332,0.00516875,1958,658,658,0.0002639864099660249,-0.010257500000000001,3.100102145045965e-05,0.16411960486322189,0.1438144376899696,-0.002720060790273556,0.0121580547112462,0.04013495440729484,1.3677811550151977e-06,9.954407294832827e-05
H5_gat_degraded,44,outage_duration,30.0,8,12.541666666666668,0.0078375,2223,969,969,0.00024598719842442145,-0.010433582089552237,4.206027890238416e-05,0.16320897832817335,0.13871888544891642,-0.0031484004127966974,0.014447884416924664,0.05308008255933953,8.875128998968009e-06,0.00021609907120743034
H5_gat_degraded,44,outage_duration,60.0,8,12.5625,0.014622916666666666,2841,1621,1621,0.0002621366553416384,-0.010275000000000001,6.195001759943682e-05,0.1604541640962369,0.12743972856261568,-0.00418161628624306,0.032078963602714373,0.08216286243059841,4.873534855027761e-05,0.0005921653300431832
