model,training_seed,axis,level_s,evaluation_seeds,mean_pickups,mean_degradation_rate,faithfulness_records,stale_exposed_records,paired_stale_exposed_records,mean_primary_type_matched_def,mean_standard_type_matched_def_sensitivity,mean_action_protected_def_m,mean_attention_drift,mean_stale_attention_share_when_exposed,mean_stale_attention_mass_when_exposed,mean_stale_attention_shift_when_exposed,stale_in_top3_rate_when_exposed,mean_wamsn_when_exposed_secondary,mean_paired_primary_type_matched_def_delta,mean_paired_primary_type_matched_def_m_delta
B2_gat,44,outage_duration,30.0,8,12.895833333333332,0.022873003766364607,1225,859,859,-6.384785116084288e-05,1.6914380677633426e-06,-0.0002951282355242704,0.00012345789129598845,0.16260961248874312,0.13567571396645206,-0.003681184048531006,0.023282887077997673,0.051222778719397365,7.030818875926753e-05,0.0002376796460147049
B2_gat,44,outage_duration,60.0,8,12.895833333333332,0.03126617085196285,1530,1204,1204,-0.0001237728976838079,-4.524018895762669e-07,-0.0006309258320880501,0.0001365766092169691,0.1618926708827307,0.12637379502144844,-0.0038489185603415407,0.040697674418604654,0.07110810233350258,0.00011064122355690567,0.0003757501767735805
B2_gat,45,clean,0.0,8,12.8125,0.0,398,0,0,4.35488310250096e-05,3.97962531703573e-06,0.00024548525536301105,0.0,,,,,,,
B2_gat,45,outage_duration,10.0,8,12.8125,0.008158898379769998,735,337,337,2.341824232104953e-05,2.9974870333428586e-06,0.00013965855017850906,4.345518818622371e-05,0.171096950226702,0.15138616141385994,0.0034890565258143256,0.857566765578635,0.028516159220964742,6.628040920733003e-06,2.321505405075119e-05
B2_gat,45,outage_duration,20.0,8,12.8125,0.015726231316372102,992,610,610,2.2154028216997778e-05,3.9297218124071744e-06,0.00012999039769512284,6.953535924497138e-05,0.1714652985260205,0.14626202331844976,0.003980541655395166,0.8475409836065574,0.04140109193749522,2.9210974284207334e-06,1.1736433036991552e-05
B2_gat,45,outage_duration,30.0,8,12.8125,0.022903849800759754,1223,857,857,1.9189863770747252e-05,3.3897795493726813e-06,0.00011273684003348881,8.605710623888994e-05,0.1718673482581397,0.14163450363020766,0.004299683259300676,0.8413068844807468,0.05437912340729139,-2.608573167809181e-06,-8.06002591844192e-06
B2_gat,45,outage_duration,60.0,8,12.875,0.03128271347714606,1529,1204,1204,6.716380769312909e-06,2.4762540513278528e-06,4.355615806739334e-05,9.643929565804551e-05,0.17253939583743433,0.13244096573671893,0.004408649379107858,0.8438538205980066,0.07657591170356555,-2.8892776259486358e-05,-0.00010501351269376633
B2_gat,46,clean,0.0,8,12.916666666666666,0.0,396,0,0,-0.000303207919441698,-0.0020163594969088527,-0.0014910160867190449,0.0,,,,,,,
B2_gat,46,outage_duration,10.0,8,12.916666666666666,0.008159381035903579,733,337,337,-0.00016810961953666717,-0.0001784149761634777,-0.0009004917943507658,2.27728807814488e-05,0.1687825724794658,0.1470520499520937,0.002353928643921036,0.857566765578635,0.028130429584929735,1.6149832810893484e-05,5.189201229875551e-05
B2_gat,46,outage_duration,20.0,8,12.916666666666666,0.01592373750914241,992,612,612,-0.00010868586972355836,-0.0009425449532767139,-0.0005545569294028811,3.135872300857009e-05,0.1696349730101095,0.14177215462316603,0.0024415179552342145,0.8464052287581699,0.04105487051514102,4.681359432751306e-05,0.00015328660696615066
B2_gat,46,outage_duration,30.0,8,12.916666666666666,0.023298379530166786,1224,860,860,-9.236151174442402e-05,-0.00041330289480683116,-0.00053844637525937,3.92651333930733e-05,0.17028657467860447,0.13705283135881582,0.0025781036743830425,0.8395348837209302,0.05400058851857294,6.79023321284805e-05,0.00022684614441191505
B2_gat,46,outage_duration,60.0,8,12.916666666666666,0.031906916345210236,1528,1205,1205,-0.00011863307190869393,0.0003200592618145627,-0.0006717251819007249,4.7868907184121155e-05,0.17071656893447282,0.12754813303697193,0.0025756270065003264,0.8273858921161825,0.07550428351259213,0.000111442839579958,0.00037751100153596577
H5_gat_degraded,42,clean,0.0,8,12.958333333333334,0.0,398,0,0,-0.0003409015221728219,-3.178215642270301e-05,-0.0017584468285092199,0.0,,,,,,,
H5_gat_degraded,42,outage_duration,10.0,8,12.958333333333334,0.0081546499281177,735,337,337,-0.00021181393430743785,-1.8263012262265914e-05,-0.001230945698673429,1.6278938757690323e-05,0.17033806480470667,0.15084268100992382,0.0024351984300691027,0.857566765578635,0.02838967831352943,2.2953789972292136e-05,8.250013229637065e-05
H5_gat_degraded,42,outage_duration,20.0,8,12.958333333333334,0.015717734413067508,992,610,610,-0.00014202477131038894,-1.3109714724123477e-05,-0.0008595083899297597,3.1888223372365035e-05,0.1706113585807877,0.1458006215416517,0.003109205886551429,0.8475409836065574,0.04118632079831541,5.6459516938266847e-05,0.00019706536104770284
H5_gat_degraded,42,outage_duration,30.0,8,12.958333333333334,0.022889366886725854,1222,856,856,-9.727119242103356e-05,-9.926006824839077e-06,-0.0005985513001587158,4.672612348936115e-05,0.17096567697115211,0.1412162691753012,0.0036246373703102,0.8411214953271028,0.054042641429305226,7.186224248921763e-05,0.00026281302246465306
H5_gat_degraded,42,outage_duration,60.0,8,13.020833333333334,0.03126072946810545,1527,1200,1200,-3.68386190779944e-05,-7.109179925382806e-06,-0.0002309969299653125,6.918874410092438e-05,0.1721201071051508,0.13243724087140085,0.0042168101143999865,0.8433333333333334,0.0764311454352986,0.00014717870888610683,0.0005580994252425927
H5_gat_degraded,43,clean,0.0,8,12.270833333333334,0.0,386,0,0,-0.0012686693756830975,0.005924509496129809,-0.007417365779343262,0.0,,,,,,,
H5_gat_degraded,43,outage_duration,10.0,8,12.270833333333334,0.008339432453428795,722,336,336,-0.0006712092243650424,0.005296727385161059,-0.003926543046017083,9.931998395106979e-06,0.16619826103698315,0.14209731397894126,-0.0008393958988423109,0.8571428571428571,0.02769971099834622,6.094925874282445e-05,0.000398883649281093
