model,training_seed,axis,level_s,evaluation_seeds,mean_pickups,mean_degradation_rate,faithfulness_records,stale_exposed_records,paired_stale_exposed_records,mean_primary_type_matched_def,mean_standard_type_matched_def_sensitivity,mean_action_protected_def_m,mean_attention_drift,mean_stale_attention_share_when_exposed,mean_stale_attention_mass_when_exposed,mean_stale_attention_shift_when_exposed,stale_in_top3_rate_when_exposed,mean_wamsn_when_exposed_secondary,mean_paired_primary_type_matched_def_delta,mean_paired_primary_type_matched_def_m_delta
B2_gat,44,clean,0.0,8,12.625,0.0,390,0,0,-5.538052608889916e-05,-7.753679829259071e-06,-0.0003340998365555293,0.0,,,,,,,
B2_gat,44,outage_duration,10.0,8,12.645833333333332,0.008267900249853686,725,335,335,2.2120647519137272e-05,6.2999765786474535e-06,0.00017547703100605889,3.1868644753636135e-05,0.16649590665230196,0.1534948485910192,-0.0020172362240783288,0.0,0.028093818821183225,6.894657119589665e-05,0.0003109894077576216
B2_gat,44,outage_duration,20.0,8,12.666666666666668,0.016535800499707373,990,616,616,9.288050595331706e-05,2.2558205346316224e-05,0.0006083160913907559,5.35288866978603e-05,0.16500104928793455,0.1484610212517175,-0.0024780062838529533,0.0,0.040096756988638974,0.00013071119188617328,0.000570485676392848
B2_gat,44,outage_duration,30.0,8,12.666666666666668,0.024244711128071438,1227,869,869,0.00013439822432115598,3.0127441009653554e-05,0.0009131576357379796,6.743361195249106e-05,0.16401333074601254,0.14409913679638203,-0.00282917898928965,0.0034522439585730723,0.05194829842745709,0.00017244431579940638,0.0007800261339649277
B2_gat,44,outage_duration,60.0,8,12.666666666666668,0.03150115098319873,1520,1193,1193,0.00016447158650042545,2.7654390692351812e-05,0.001029907036012293,7.685093021669669e-05,0.1632630372226225,0.1367299059673434,-0.0032548228019109874,0.024308466051969825,0.07073197356888486,0.00023208672514372157,0.0010851979638718133
H5_gat_degraded,42,clean,0.0,8,12.729166666666666,0.0,397,0,0,-0.0001995285931821879,3.081558567993771e-06,-0.0012950628220655578,0.0,,,,,,,
H5_gat_degraded,42,outage_duration,10.0,8,12.729166666666666,0.008104039928946441,730,333,333,-0.00013353336034654226,2.092407390826102e-06,-0.0009700499369483531,1.6347654858405927e-05,0.17025467833761904,0.15090489891004336,0.0024335257572398257,0.8558558558558559,0.02855200224390993,1.7452210158079783e-05,4.885348064164904e-05
H5_gat_degraded,42,outage_duration,20.0,8,12.729166666666666,0.016208079857892882,990,609,609,-0.00010544618742607395,-4.0007128054237425e-07,-0.0008014663659031299,3.3317820632813344e-05,0.1704123773881005,0.1455361204855365,0.003150589469777949,0.8423645320197044,0.04138466425170994,3.725898415910513e-05,9.245569169695676e-05
H5_gat_degraded,42,outage_duration,30.0,8,12.729166666666666,0.023736625461344994,1220,855,855,-6.904524597599046e-05,1.0191882089572651e-07,-0.0005461478527019635,4.9020393548077524e-05,0.1707406067261624,0.1407545375208523,0.0036730341778377484,0.8350877192982457,0.05415707718134406,5.493481372996834e-05,0.00015995132011591988
H5_gat_degraded,42,outage_duration,60.0,8,12.729166666666666,0.029915800422217628,1513,1183,1183,1.027726921023311e-05,1.1759512869059792e-06,-3.7204597180861746e-05,6.509392448377387e-05,0.17225053008340932,0.1324450688722042,0.004151178097515317,0.8478444632290786,0.07636707169564073,0.00014808549238413493,0.0005119169628958511
H5_gat_degraded,43,clean,0.0,8,12.666666666666668,0.0,396,0,0,-0.0001514877188746438,2.417747198529389e-06,-0.0007346935273404139,0.0,,,,,,,
H5_gat_degraded,43,outage_duration,10.0,8,12.666666666666668,0.008172178516904296,728,332,332,-6.659659163201626e-05,1.3935880096101129e-06,-0.0003052684991639491,3.6819380186108902e-06,0.16964375238503476,0.1477041720084423,0.0009353092390216799,0.8554216867469879,0.028273959573468763,7.377622357333987e-05,0.0002676706791043757
H5_gat_degraded,43,outage_duration,20.0,8,12.625,0.016348929758420824,989,609,609,-4.493488783319886e-06,5.1593644032663815e-06,6.707324665244252e-05,3.908789896351391e-06,0.168556181384943,0.14048436108610657,0.0009261361564473032,0.8423645320197044,0.04077167694990973,0.00012424921053122738,0.000438684094992895
H5_gat_degraded,43,outage_duration,30.0,8,12.625,0.02393557383953006,1223,859,859,2.066275274102199e-05,6.784568548279598e-06,0.0002179443417828251,3.5778798617766244e-06,0.16805405125492098,0.13482210678592804,0.0009407147198454127,0.8358556461001164,0.05318254836410763,0.00014280436353069132,0.0005172375177615456
H5_gat_degraded,43,outage_duration,60.0,8,12.625,0.03166981225965734,1522,1188,1188,6.134195584701125e-06,4.826830443284267e-06,0.00012104893023008705,3.690809126608056e-06,0.16859820064747683,0.12570570367374304,0.0009251900858860146,0.8274410774410774,0.07428549998956534,0.00015906147579385503,0.0005879379196383068
H5_gat_degraded,44,clean,0.0,8,13.0,0.0,397,0,0,-0.0003089156044895841,-7.043252419974146e-06,-0.001696002942027775,0.0,,,,,,,
H5_gat_degraded,44,outage_duration,10.0,8,13.0,0.008085084007528413,729,332,332,-0.00017735805757884883,-1.7352850817509268e-06,-0.0010255454515254562,6.0288862445987445e-05,0.16395029048331647,0.146080863622517,-0.003032176472229892,0.024096385542168676,0.027325049228235976,1.3730519387616699e-05,4.141164427421163e-05
H5_gat_degraded,44,outage_duration,20.0,8,13.0,0.016170168015056826,990,609,609,-0.00011404184134382949,-3.2361792890649117e-06,-0.0006249540304255015,0.00010655632464526861,0.16306004119465525,0.14012578244390217,-0.0035737770080185283,0.03940886699507389,0.039456934327147725,2.4741268184058432e-05,7.179209449673579e-05
H5_gat_degraded,44,outage_duration,30.0,8,13.0,0.023681463948797166,1223,858,858,-0.00010841068975215513,8.24121414478096e-08,-0.0006155532043375266,0.00013142001001906518,0.16248069913607419,0.1349966398416191,-0.0038505126108685957,0.03496503496503497,0.051377284837804495,3.799359837334188e-05,0.00011469714760363503
H5_gat_degraded,44,outage_duration,60.0,8,13.0,0.03051670236886863,1519,1188,1188,-0.00021432592989481503,-2.0001348434636044e-06,-0.0011817939101986714,0.00013757120823195467,0.16189565554534405,0.12586762413062164,-0.0038898973189292465,0.04713804713804714,0.07103435326042938,8.378221405676319e-05,0.0002723831072968131
